property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,double_bounce_max,double_bounce_mean,dualpol_max,dualpol_mean,open_water_max,open_water_mean,optical_max,optical_mean,optical_valid_max,optical_valid_mean,subpixel_max,subpixel_mean,vh_z_max,vh_z_mean,z_max,z_mean
25179,HWM 25179,25179,23181,29.88709,-95.5325,4.0,Excellent: +/- 0.05 ft,Seed line,Riverine,Rolling Fork,2017-09-26T05:00:00,2017-09-26T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.585258986842627,1.417010066947927,2.536062600248512,1.656842748652776
25175,HWM 25175,25175,23179,29.88837,-95.57372,1.2,Excellent: +/- 0.05 ft,Seed line,Riverine,White Oak Bayou Trib,2017-09-25T05:00:00,2017-09-26T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.6188922994039143,1.6847362831520911,3.3061147244012,1.4117807358027796
25184,HWM 25184,25184,23184,29.75367,-95.54056,2.0,Excellent: +/- 0.05 ft,Seed line,Riverine,Buffalo Bayou,2017-09-26T05:00:00,2017-09-26T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,1.7595653915951215,0.8047747229599141,3.0536930850863526,1.9775593658832633
25187,HWM 25187,25187,23186,29.86273,-95.46898,1.9,Excellent: +/- 0.05 ft,Seed line,Riverine,White Oak Bayou,2017-09-27T05:00:00,2017-09-27T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.4049224690941484,1.3056130219706048,2.620817702368561,0.9201317728002556
25189,HWM 25189,25189,23188,29.826044,-95.481466,1.1,Good: +/- 0.10 ft,Seed line,Riverine,Brickhouse Gully,2017-09-27T05:00:00,2017-09-27T05:00:00,1,0.1530426884650318,0,0.0,0,0.0,0,0.0,1,1,0,0.0,3.1648429000229927,2.7175540137886083,3.403263174876261,2.642944626003531
25201,HWM 25201,25201,23196,29.77798,-95.48255,1.9,Excellent: +/- 0.05 ft,Seed line,Riverine,Spring Branch Bayou,2017-09-28T05:00:00,2017-09-28T05:00:00,1,0.08375056895766955,0,0.0,0,0.0,0,0.0,1,1,0,0.0,4.794012745755469,0.24460273132231072,5.107981929348443,1.3868141417569162
22611,HWM 22611,22611,21791,29.721307,-95.565625,5.21,Good: +/- 0.10 ft,Seed line,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,1,0.0227894257064722,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.3728843648972475,0.922629947025724,3.2473183575843767,1.2887664038069788
22621,HWM 22621,22621,21791,29.7212186,-95.565607,8.5,Good: +/- 0.10 ft,Seed line,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,1,0.030013642564802188,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.4066920273732824,1.0737962790602156,3.2473183575843767,1.2351866422706614
22676,HWM 22676,22676,21825,29.99411,-95.54108,5.34,Fair: +/- 0.20 ft,Debris,Riverine,Cypress Cr,2017-09-13T05:00:00,2017-09-13T05:00:00,1,0.011363636363636364,0,0.0,0,0.0,0,0.0,1,1,1,0.0009090909090909091,0.962198896910036,-1.42754349758515,5.53810365396951,3.172007158093146
25182,HWM 25182,25182,23183,29.76639,-95.57567,0.6,Fair: +/- 0.20 ft,Seed line,Riverine,White Oak Bayou,2017-09-26T05:00:00,2017-09-26T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,1,0.059225512528473814,1.652445624404793,0.014869963514041813,2.4604738762281286,0.49131729261869617
