property_id,address,pct_flooded,max_depth_ft,depth_lower_ft,depth_upper_ft,depth_ci_ft,impact_class,confidence_score,recommended_action,adjuster_note,urban_flag,optical_available,optical_water_pct,confidence_factors,ensemble_disagreement,ensemble_note,ensemble_votes
IAN-00861,"3463 Pinetree Street, Port Charlotte, FL, 33952",0.0,0.0,0.0,0.0,0.0,Remote-Deny,88,Deny remotely — no significant flooding detected by satellite,Satellite data at 3463 Pinetree Street indicates 0.0ft depth; remote-deny per 88% confidence.,1,1,0.0,"[{""factor"": ""SAR recency"", ""delta"": 15, ""reason"": ""Imagery 2d post-event \u2014 very fresh""}, {""factor"": ""Depth certainty"", ""delta"": 10, ""reason"": ""Near-zero depth \u2014 confidently not flooded""}, {""factor"": ""Coverage coherence"", ""delta"": 7, ""reason"": ""0% coverage \u2014 confidently dry""}, {""factor"": ""Urban SAR shadow"", ""delta"": -15, ""reason"": ""Dense urban area \u2014 radar shadow can mimic water""}, {""factor"": ""Optical cross-check"", ""delta"": 6, ""reason"": ""Sentinel-2 confirms dry ground \u2014 sensors agree""}]",0,,"{""sar"": ""dry"", ""optical"": ""dry"", ""dem_hydrology"": ""abstain""}"
IAN-00862,"192 North Waterway Drive Northwest, Port Charlotte, FL, 33952",0.0,0.0,0.0,0.0,0.0,Remote-Deny,88,Deny remotely — no significant flooding detected by satellite,Satellite data at 192 North Waterway Drive Northwest indicates 0.0ft depth; remote-deny per 88% confidence.,1,1,0.0041,"[{""factor"": ""SAR recency"", ""delta"": 15, ""reason"": ""Imagery 2d post-event \u2014 very fresh""}, {""factor"": ""Depth certainty"", ""delta"": 10, ""reason"": ""Near-zero depth \u2014 confidently not flooded""}, {""factor"": ""Coverage coherence"", ""delta"": 7, ""reason"": ""0% coverage \u2014 confidently dry""}, {""factor"": ""Urban SAR shadow"", ""delta"": -15, ""reason"": ""Dense urban area \u2014 radar shadow can mimic water""}, {""factor"": ""Optical cross-check"", ""delta"": 6, ""reason"": ""Sentinel-2 confirms dry ground \u2014 sensors agree""}]",0,,"{""sar"": ""dry"", ""optical"": ""dry"", ""dem_hydrology"": ""abstain""}"
IAN-00863,"188 North Waterway Drive Northwest, Port Charlotte, FL, 33952",0.0,0.0,0.0,0.0,0.0,Remote-Deny,88,Deny remotely — no significant flooding detected by satellite,Satellite data at 188 North Waterway Drive Northwest indicates 0.0ft depth; remote-deny per 88% confidence.,1,1,0.0,"[{""factor"": ""SAR recency"", ""delta"": 15, ""reason"": ""Imagery 2d post-event \u2014 very fresh""}, {""factor"": ""Depth certainty"", ""delta"": 10, ""reason"": ""Near-zero depth \u2014 confidently not flooded""}, {""factor"": ""Coverage coherence"", ""delta"": 7, ""reason"": ""0% coverage \u2014 confidently dry""}, {""factor"": ""Urban SAR shadow"", ""delta"": -15, ""reason"": ""Dense urban area \u2014 radar shadow can mimic water""}, {""factor"": ""Optical cross-check"", ""delta"": 6, ""reason"": ""Sentinel-2 confirms dry ground \u2014 sensors agree""}]",0,,"{""sar"": ""dry"", ""optical"": ""dry"", ""dem_hydrology"": ""abstain""}"
IAN-00864,"186 North Waterway Drive Northwest, Port Charlotte, FL, 33952",0.0,0.0,0.0,0.0,0.0,Remote-Deny,88,Deny remotely — no significant flooding detected by satellite,Satellite data at 186 North Waterway Drive Northwest indicates 0.0ft depth; remote-deny per 88% confidence.,1,1,0.0,"[{""factor"": ""SAR recency"", ""delta"": 15, ""reason"": ""Imagery 2d post-event \u2014 very fresh""}, {""factor"": ""Depth certainty"", ""delta"": 10, ""reason"": ""Near-zero depth \u2014 confidently not flooded""}, {""factor"": ""Coverage coherence"", ""delta"": 7, ""reason"": ""0% coverage \u2014 confidently dry""}, {""factor"": ""Urban SAR shadow"", ""delta"": -15, ""reason"": ""Dense urban area \u2014 radar shadow can mimic water""}, {""factor"": ""Optical cross-check"", ""delta"": 6, ""reason"": ""Sentinel-2 confirms dry ground \u2014 sensors agree""}]",0,,"{""sar"": ""dry"", ""optical"": ""dry"", ""dem_hydrology"": ""abstain""}"
IAN-00865,"184 North Waterway Drive Northwest, Port Charlotte, FL, 33952",0.0,0.0,0.0,0.0,0.0,Remote-Deny,88,Deny remotely — no significant flooding detected by satellite,Satellite data at 184 North Waterway Drive Northwest indicates 0.0ft depth; remote-deny per 88% confidence.,1,1,0.0,"[{""factor"": ""SAR recency"", ""delta"": 15, ""reason"": ""Imagery 2d post-event \u2014 very fresh""}, {""factor"": ""Depth certainty"", ""delta"": 10, ""reason"": ""Near-zero depth \u2014 confidently not flooded""}, {""factor"": ""Coverage coherence"", ""delta"": 7, ""reason"": ""0% coverage \u2014 confidently dry""}, {""factor"": ""Urban SAR shadow"", ""delta"": -15, ""reason"": ""Dense urban area \u2014 radar shadow can mimic water""}, {""factor"": ""Optical cross-check"", ""delta"": 6, ""reason"": ""Sentinel-2 confirms dry ground \u2014 sensors agree""}]",0,,"{""sar"": ""dry"", ""optical"": ""dry"", ""dem_hydrology"": ""abstain""}"
IAN-00866,"180 North Waterway Drive Northwest, Port Charlotte, FL, 33952",0.0,0.0,0.0,0.0,0.0,Remote-Deny,88,Deny remotely — no significant flooding detected by satellite,Satellite data at 180 North Waterway Drive Northwest indicates 0.0ft depth; remote-deny per 88% confidence.,1,1,0.0,"[{""factor"": ""SAR recency"", ""delta"": 15, ""reason"": ""Imagery 2d post-event \u2014 very fresh""}, {""factor"": ""Depth certainty"", ""delta"": 10, ""reason"": ""Near-zero depth \u2014 confidently not flooded""}, {""factor"": ""Coverage coherence"", ""delta"": 7, ""reason"": ""0% coverage \u2014 confidently dry""}, {""factor"": ""Urban SAR shadow"", ""delta"": -15, ""reason"": ""Dense urban area \u2014 radar shadow can mimic water""}, {""factor"": ""Optical cross-check"", ""delta"": 6, ""reason"": ""Sentinel-2 confirms dry ground \u2014 sensors agree""}]",0,,"{""sar"": ""dry"", ""optical"": ""dry"", ""dem_hydrology"": ""abstain""}"
IAN-00867,"176 North Waterway Drive Northwest, Port Charlotte, FL, 33952",0.0,0.0,0.0,0.0,0.0,Remote-Deny,88,Deny remotely — no significant flooding detected by satellite,Satellite data at 176 North Waterway Drive Northwest indicates 0.0ft depth; remote-deny per 88% confidence.,1,1,0.0,"[{""factor"": ""SAR recency"", ""delta"": 15, ""reason"": ""Imagery 2d post-event \u2014 very fresh""}, {""factor"": ""Depth certainty"", ""delta"": 10, ""reason"": ""Near-zero depth \u2014 confidently not flooded""}, {""factor"": ""Coverage coherence"", ""delta"": 7, ""reason"": ""0% coverage \u2014 confidently dry""}, {""factor"": ""Urban SAR shadow"", ""delta"": -15, ""reason"": ""Dense urban area \u2014 radar shadow can mimic water""}, {""factor"": ""Optical cross-check"", ""delta"": 6, ""reason"": ""Sentinel-2 confirms dry ground \u2014 sensors agree""}]",0,,"{""sar"": ""dry"", ""optical"": ""dry"", ""dem_hydrology"": ""abstain""}"
IAN-00868,"3521 Pinetree Street, Port Charlotte, FL, 33952",0.0,0.0,0.0,0.0,0.0,Remote-Deny,88,Deny remotely — no significant flooding detected by satellite,Satellite data at 3521 Pinetree Street indicates 0.0ft depth; remote-deny per 88% confidence.,1,1,0.0,"[{""factor"": ""SAR recency"", ""delta"": 15, ""reason"": ""Imagery 2d post-event \u2014 very fresh""}, {""factor"": ""Depth certainty"", ""delta"": 10, ""reason"": ""Near-zero depth \u2014 confidently not flooded""}, {""factor"": ""Coverage coherence"", ""delta"": 7, ""reason"": ""0% coverage \u2014 confidently dry""}, {""factor"": ""Urban SAR shadow"", ""delta"": -15, ""reason"": ""Dense urban area \u2014 radar shadow can mimic water""}, {""factor"": ""Optical cross-check"", ""delta"": 6, ""reason"": ""Sentinel-2 confirms dry ground \u2014 sensors agree""}]",0,,"{""sar"": ""dry"", ""optical"": ""dry"", ""dem_hydrology"": ""abstain""}"
IAN-00869,"3511 Pinetree Street, Port Charlotte, FL, 33952",0.0,0.0,0.0,0.0,0.0,Remote-Deny,88,Deny remotely — no significant flooding detected by satellite,Satellite data at 3511 Pinetree Street indicates 0.0ft depth; remote-deny per 88% confidence.,1,1,0.0,"[{""factor"": ""SAR recency"", ""delta"": 15, ""reason"": ""Imagery 2d post-event \u2014 very fresh""}, {""factor"": ""Depth certainty"", ""delta"": 10, ""reason"": ""Near-zero depth \u2014 confidently not flooded""}, {""factor"": ""Coverage coherence"", ""delta"": 7, ""reason"": ""0% coverage \u2014 confidently dry""}, {""factor"": ""Urban SAR shadow"", ""delta"": -15, ""reason"": ""Dense urban area \u2014 radar shadow can mimic water""}, {""factor"": ""Optical cross-check"", ""delta"": 6, ""reason"": ""Sentinel-2 confirms dry ground \u2014 sensors agree""}]",0,,"{""sar"": ""dry"", ""optical"": ""dry"", ""dem_hydrology"": ""abstain""}"
IAN-00870,"3503 Pinetree Street, Port Charlotte, FL, 33952",0.0,0.0,0.0,0.0,0.0,Remote-Deny,88,Deny remotely — no significant flooding detected by satellite,Satellite data at 3503 Pinetree Street indicates 0.0ft depth; remote-deny per 88% confidence.,1,1,0.0,"[{""factor"": ""SAR recency"", ""delta"": 15, ""reason"": ""Imagery 2d post-event \u2014 very fresh""}, {""factor"": ""Depth certainty"", ""delta"": 10, ""reason"": ""Near-zero depth \u2014 confidently not flooded""}, {""factor"": ""Coverage coherence"", ""delta"": 7, ""reason"": ""0% coverage \u2014 confidently dry""}, {""factor"": ""Urban SAR shadow"", ""delta"": -15, ""reason"": ""Dense urban area \u2014 radar shadow can mimic water""}, {""factor"": ""Optical cross-check"", ""delta"": 6, ""reason"": ""Sentinel-2 confirms dry ground \u2014 sensors agree""}]",0,,"{""sar"": ""dry"", ""optical"": ""dry"", ""dem_hydrology"": ""abstain""}"
