property_id,address,latitude,longitude,pct_flooded,max_depth_ft
IAN-00065,"24471 Sandhill Boulevard, Punta Gorda, FL, 33983",27.022583,-82.045513,0.0,0.0
IAN-00066,"25490 Airport Road, Punta Gorda, FL, 33950",26.919141,-82.024958,0.0,0.0
IAN-00067,24143 Peachland Boulevard,27.017072,-82.054411,0.0089,22.97
IAN-00068,"1600 Tamiami Trail, Port Charlotte, FL, 33948",27.010028,-82.138499,0.0,0.0
IAN-00069,"24133 Peachland Boulevard, Port Charlotte, FL, 33954",27.017,-82.05494,0.0,0.0
IAN-00070,"24180 Veterans Boulevard, Port Charlotte, FL, 33954",27.017802,-82.052242,0.0016,19.69
IAN-00071,24123 Peachland Boulevard,27.015334,-82.0535,0.0,0.0
IAN-00072,"24123 Peachland Boulevard, Port Charlotte, FL, 33954",27.015559,-82.053358,0.0,0.0
IAN-00073,"910 Kings Highway, Port Charlotte, FL, 33980-4247",27.015903,-82.051359,0.0,0.0
IAN-00074,"1001 Kings Highway, Port Charlotte, FL, 33980",27.014617,-82.053693,0.0,0.0
IAN-00075,"912 Kings Highway, Port Charlotte, FL, 33980-5247",27.015492,-82.050736,0.0,0.0
IAN-00076,"1185 Kings Highway, Port Charlotte, FL, 33980",27.011309,-82.054355,0.0,0.0
IAN-00077,"800 Kings Highway, Port Charlotte, FL, 33980",27.017865,-82.049281,0.0,0.0
IAN-00078,24001 Peachland Boulevard,27.016407,-82.056812,0.0,0.0
IAN-00079,"24001 Peachland Boulevard, Port Charlotte, FL, 33954",27.016688,-82.056814,0.0,0.0
IAN-00080,"385 Kings Highway, Port Charlotte, FL, 33983",27.022798,-82.047218,0.0,0.0
IAN-00081,"2301 Tamiami Trail, Port Charlotte, FL",26.998132,-82.121805,0.0,0.0
IAN-00082,"18700 Veterans Boulevard, Port Charlotte, FL, 33954",27.014877,-82.145169,0.0,0.0
IAN-00083,26415 Indian Trail Drive,26.895385,-82.011099,0.0,0.0
IAN-00084,911 Tamiami Trail,26.930137,-82.047595,0.0,0.0
IAN-00085,"1105 Taylor Road, Punta Gorda, 33950",26.928349,-82.044956,0.0,0.0
IAN-00086,"2117 Tamiami Trail, Punta Gorda",26.919257,-82.048093,0.0,0.0
IAN-00087,"1001 Tamiami Trail, Punta Gorda, FL, 33950",26.929195,-82.048124,0.0,0.0
IAN-00088,"5240 Duncan Road, Punta Gorda, 33982",26.956722,-81.99102,0.0,0.0
IAN-00089,"19400 Cochran Boulevard, Port Charlotte, FL, 33948",27.00883,-82.13445,0.0,0.0
IAN-00090,"19400 Cochran Boulevard, Port Charlotte, FL, 33948-2072",27.009725,-82.134434,0.0,0.0
IAN-00091,1720 Tamiami Trail,27.008256,-82.13482,0.0,0.0
IAN-00092,"19451 Cochran Boulevard, Port Charlotte, FL, 33948-2008",27.009948,-82.132084,0.0,0.0
IAN-00093,"1805 Tamiami Trail, Port Charlotte, FL, 33948",27.005915,-82.132876,0.0154,22.97
IAN-00094,"4225 Taylor Road, Punta Gorda, FL, 33950",26.899538,-82.016785,0.0,0.0
IAN-00095,"3081 Duncan Road, Punta Gorda, FL, 33982",26.988927,-81.959652,0.0,0.0
IAN-00096,"28000 Sandhill Boulevard, Punta Gorda, FL, 33982",27.017148,-81.999628,0.0,0.0
IAN-00097,"19600 Cochran Boulevard, Port Charlotte, FL, 33948",27.013425,-82.135638,0.0,0.0
IAN-00098,"19530 Cochran Boulevard, Port Charlotte, FL, 33948",27.012788,-82.135471,0.0,0.0
IAN-00099,"19590 Cochran Boulevard, Port Charlotte, FL",27.014044,-82.133707,0.0,0.0
IAN-00100,19655 Cochran Boulevard,27.014849,-82.132649,0.0,0.0
IAN-00101,"19680 Cochran Boulevard, Port Charlotte, FL, 33948",27.015197,-82.133974,0.0,0.0
IAN-00102,"1470 Tamiami Trail, Port Charlotte, FL, 33948",27.011934,-82.14284,0.0,0.0
IAN-00103,"19000 Murdock Circle, Port Charlotte, FL, 33948-1086",27.010865,-82.14041,0.0,0.0
IAN-00104,"900 Kings Highway, Punta Gorda, FL, 33980",27.016715,-82.050674,0.0,0.0
IAN-00105,24491 Sandhill Boulevard,27.021458,-82.04648,0.0,0.0
IAN-00106,"1900 Tamiami Trail, Port Charlotte, FL, 33948",27.00604,-82.13101,0.0174,26.25
IAN-00107,"2000 Tamiami Trail, Port Charlotte, FL, 33948",27.004146,-82.128235,0.0,0.0
IAN-00108,19530 Cochran Boulevard,27.012906,-82.135486,0.0,0.0
IAN-00109,"1804 Tamiami Trail North, Port Charlotte, FL, 33948",27.008402,-82.132758,0.0,0.0
IAN-00110,"1808 Tamiami Trail, Port Charlotte, FL, 33948",27.008081,-82.132005,0.0,0.0
IAN-00111,2400 Kings Highway,26.992191,-82.058661,0.0444,16.4
IAN-00112,"8114 Riverside Drive, 33982",26.974211,-81.965482,0.0,0.0
IAN-00113,"2100 West Retta Esplanade, Punta Gorda, FL, 33950",26.929069,-82.065056,0.0753,9.84
IAN-00114,"212 West Marion Avenue, Punta Gorda, FL, 33950",26.935,-82.051679,0.0,0.0
IAN-00115,"1250 Rutledge, North Port, FL, 34288",27.033166,-82.069011,0.0182,0.0
IAN-00116,"20480 Veterans Boulevard, Port Charlotte, FL, 33954",27.02434,-82.115322,0.0,0.0
IAN-00117,"379 Kings Highway, Punta Gorda, FL, 33983",27.023449,-82.046451,0.0,0.0
IAN-00118,"375 Kings Highway, Port Charlotte, FL, 33954",27.024623,-82.047199,0.0,0.0
IAN-00119,24100 Beatrix Boulevard,27.01819,-82.053717,0.0,0.0
IAN-00120,"1825 Tamiami Trail, Port Charlotte, FL, 33948",27.004964,-82.134007,0.0,0.0
IAN-00121,117 herald ct,26.93483,-82.049657,0.0,0.0
IAN-00122,"3315 Tamiami Trail, Port Charlotte, 33948",26.981562,-82.099556,0.0,0.0
IAN-00123,"18268 Yale Ave, Port Charlotte, FL, 33948",26.998361,-82.147808,0.0,0.0
IAN-00124,"3013 Tamiami Trail, Port Charlotte, FL, 33952",26.9868,-82.106645,0.0,0.0
IAN-00125,"225 Wood Street, Punta Gorda, FL, 33950",26.937147,-82.046963,0.0,0.0
IAN-00126,"139 E Marion Ave, Punta Gorda, FL, 33950",26.936775,-82.048483,0.0,0.0
IAN-00127,"104 Rio Villa Drive, Punta Gorda, FL, 33950",26.907285,-82.039991,0.0,0.0
IAN-00128,10175 Tamiami Trail,26.882916,-82.017293,0.0,0.0
IAN-00129,"2301 Tamiami Trail, Port Charlotte, FL, 33952",26.998006,-82.121632,0.0,0.0
IAN-00130,"2171 Tamiami Trail, Port Charlotte, FL, 33948",27.000353,-82.12476,0.0852,13.12
IAN-00131,"2200 Kings Hwy, Port Charlotte, FL, 33980",26.996221,-82.057419,0.0,0.0
IAN-00132,"27680 Bermont Road, Punta Gorda, FL, 33982",26.947954,-81.998669,0.0,0.0
IAN-00133,"26279 Jones Loop Road, Punta Gorda, FL, 33950",26.894103,-82.015187,0.0028,16.4
IAN-00134,1799 Suite #103 Tamiami Trail,27.006226,-82.133463,0.0114,19.69
IAN-00135,"1931 Tamiami Trl, Port Charlotte, FL, 33948",27.004642,-82.130946,0.0,0.0
IAN-00136,21234 Olean Blvd,26.987574,-82.100153,0.0125,3.28
IAN-00137,"909 Kings Highway, Port Charlotte, FL, 33980",27.016956,-82.052634,0.0793,19.69
IAN-00138,"4161 Tamiami Trail, Port Charlotte, FL, 33952",26.967499,-82.081748,0.0,0.0
IAN-00139,1100 El Jobean Road,27.010775,-82.149933,0.0,0.0
IAN-00140,"20183 Hillsborough Boulevard, Port Charlotte, FL, 33954",27.032284,-82.117145,0.0,0.0
IAN-00141,"3500 Bayswater Road, Punta Gorda, FL",26.94321,-82.012794,0.0,0.0
IAN-00142,"4678 Tamiami Trail, Port Charlotte, FL",26.960395,-82.068654,0.1415,29.53
IAN-00143,"4560 Tamiami Trail, Port Charlotte, FL, 33980",26.963022,-82.071488,0.0,0.0
IAN-00144,"22448 Tamiami Trail, Port Charlotte, FL",26.963566,-82.074937,0.0,0.0
IAN-00145,"4233 Tamiami Trail, Port Charlotte, FL, 33952",26.967663,-82.079855,0.0194,19.69
IAN-00146,"1931 Tamiami Trail, Port Charlotte, FL, 33948",27.004528,-82.130805,0.0045,22.97
IAN-00147,"1951 Tamiami Trail, Port Charlotte, FL, 33948",27.003632,-82.129696,0.0,0.0
IAN-00148,"2191 Tamiami Trail, Port Charlotte, FL",27.000132,-82.12437,0.0672,13.12
IAN-00149,"2195 Tamiami Trail, Port Charlotte, FL",26.999942,-82.124137,0.0,0.0
IAN-00150,"2221 Tamiami Trail, Port Charlotte, FL",26.999749,-82.123936,0.0381,16.4
IAN-00151,"2231 Tamiami Trail, Port Charlotte, FL",26.999415,-82.123465,0.0,0.0
IAN-00152,"2605 Tamiami Trail, Port Charlotte, FL, 33952",26.992602,-82.114779,0.0612,0.0
IAN-00153,"2605 Tamiami Trail, Port Charlotte, FL",26.992548,-82.114712,0.0791,0.0
IAN-00154,"3749 Tamiami Trail, Port Charlotte, FL",26.974053,-82.088955,0.0,0.0
IAN-00155,"3769 Tamiami Trail, Port Charlotte, FL, 33952",26.973738,-82.088599,0.0,0.0
IAN-00156,"3795 Tamiami Trail, Port Charlotte, FL, 33952",26.973417,-82.087977,0.0,0.0
IAN-00157,"3805 Tamiami Trail, Port Charlotte, FL, 33952",26.973225,-82.087834,0.0,0.0
IAN-00158,"3815 Tamiami Trail, Port Charlotte, FL, 33952",26.973084,-82.087644,0.0,0.0
IAN-00159,"3821 Tamiami Trail, Port Charlotte, FL, 33952",26.972976,-82.087547,0.0,0.0
IAN-00160,"3785 Tamiami Trail, Port Charlotte, FL, 33952",26.973545,-82.088357,0.0,0.0
IAN-00161,"4061 Tamiami Trail, Port Charlotte, FL, 33952",26.97073,-82.084376,0.103,29.53
IAN-00162,"4265 Tamiami Trail, Port Charlotte, FL, 33980",26.966603,-82.08019,0.0231,19.69
IAN-00163,"2480 Tamiami Trail, Port Charlotte, FL, 33952",26.995764,-82.116573,0.0,0.0
IAN-00164,"2320 Tamiami Trail, Port Charlotte, FL, 33952",26.998366,-82.120294,0.0,0.0
IAN-00165,"2300 Tamiami Trail, Port Charlotte, FL, 33952",26.998685,-82.120723,0.0,0.0
IAN-00166,"2270 Tamiami Trail, Port Charlotte, FL, 33952",26.99934,-82.121496,0.0,0.0
IAN-00167,"2040 Tamiami Trail, Port Charlotte, FL, 33948",27.003285,-82.127105,0.0,0.0
IAN-00168,"1940 Tamiami Trail, Port Charlotte, FL, 33948",27.005201,-82.129789,0.0134,22.97
IAN-00169,"1800 Tamiami Trail, Port Charlotte, FL, 33948",27.007352,-82.132633,0.0178,32.81
IAN-00170,"26440 Jones Loop Road, Punta Gorda, FL, 33950",26.895597,-82.010536,0.0,0.0
IAN-00171,"24411 Rampart Boulevard, Port Charlotte, FL",27.001541,-82.044863,0.0,0.0
IAN-00172,21186 Olean Blvd,26.986425,-82.100973,0.0,0.0
IAN-00173,"26415 Indian Trail Drive, Punta Gorda, FL, 33950",26.89569,-82.01127,0.0,0.0
IAN-00174,"1020 El Jobean Road, Port Charlotte, FL, 33948",27.011415,-82.147047,0.0,0.0
IAN-00175,"1441 Tamiami Trail, Port Charlotte, FL, 33948",27.009461,-82.147451,0.0,0.0
IAN-00176,"6404 Swiss Blvd, Punta Gorda, FL, 33982",26.935117,-81.968574,0.0,0.0
IAN-00177,"122 East Charlotte Avenue, 33950",26.933532,-82.046675,0.0,0.0
IAN-00178,"3076 Villa Street, Charlotte, FL, 33980-7325",26.985978,-82.067993,0.0,0.0
IAN-00179,"23111 Foster Avenue, Port Charlotte, FL, 33980",26.960261,-82.070606,0.0,0.0
IAN-00180,"4336 S Tamiami Trail, Port Charlotte, FL, 33950",26.966753,-82.076568,0.0,0.0
IAN-00181,"18245 Paulson Drive, Port Charlotte, FL, 33954",27.016272,-82.146455,0.0,0.0
IAN-00182,"23970 Suncoast Boulevard, Port Charlotte, FL, 33980",26.993354,-82.058226,0.0,0.0
IAN-00183,"1623 Aqui Esta Drive, FL, 33950",26.909446,-82.069278,0.0,0.0
IAN-00184,"1133 Bal Harbor Blvd., 33950",26.908649,-82.072276,0.0919,16.4
IAN-00185,"1912 Kings Highway, Port Charlotte, FL, 33980",27.006224,-82.053584,0.0,0.0
IAN-00186,"375 Kings Highway, Port Charlotte, FL, 33983",27.024942,-82.047909,0.0,0.0
IAN-00187,26530 Jones Loop Road,26.895562,-82.007901,0.0,0.0
IAN-00188,"10151 Tamiami Trail, Punta Gorda, 33950",26.885021,-82.018369,0.0,0.0
IAN-00189,"7474 Utilities Road, Punta Gorda, FL, 33982",26.921579,-82.003438,0.2063,16.4
IAN-00190,"27200 Airport Road, Punta Gorda, FL, 33982",26.918095,-81.999649,0.0333,9.84
IAN-00191,"27220 Airport Road, Punta Gorda, FL, 33982",26.917767,-81.999417,0.0,0.0
IAN-00192,"27180 Airport Road, Punta Gorda, FL, 33982",26.918449,-81.999893,0.0,0.0
IAN-00193,"24480 Sandhill Boulevard, Port Charlotte, FL, 33983",27.020637,-82.044545,0.0,0.0
IAN-00194,24410 Sandhill Boulevard,27.02334,-82.044073,0.0,0.0
IAN-00195,"21229 Olean Boulevard, Port Charlotte, FL, 33952",26.986567,-82.099394,0.0,0.0
IAN-00196,"2036 Loveland Boulevard, Port Charlotte, FL, 33980",27.002503,-82.056893,0.0,0.0
IAN-00197,"80 Mocha Court, Punta Gorda, FL, 33983-5341",27.030937,-82.012421,0.0,0.0
IAN-00198,"1341 Tamiami Trail, Port Charlotte, FL, 33948",27.011997,-82.145915,0.0,0.0
IAN-00199,"1777 Tamiami Trail, Port Charlotte, FL",27.007426,-82.136436,0.0,0.0
IAN-00200,1700 Tamiami Trail,27.009421,-82.136289,0.0,0.0
IAN-00201,3941 Tamiami Trail,26.890396,-82.026182,0.0,0.0
IAN-00202,"18505 Paulson Drive, Port Charlotte, FL, 33954",27.015465,-82.143141,0.0,0.0
IAN-00203,"812 Kings Highway, Port Charlotte, FL, 33980",27.016998,-82.048259,0.0,0.0
IAN-00204,"24244 Corporate Court, Port Charlotte, FL, 33954",27.018556,-82.050966,0.0,0.0
IAN-00205,"75 Taylor Street, Punta Gorda, FL, 33950",26.936962,-82.053638,0.0,0.0
IAN-00206,110 Sullivan Street,26.935648,-82.052334,0.0,0.0
IAN-00207,112 Sullivan Street,26.935477,-82.052174,0.0,0.0
IAN-00208,"150 West McKenzie Street, Punta Gorda, FL, 33950",26.92757,-82.048424,0.0,0.0
IAN-00209,"1520 Tamiami Trail, Charlotte Park, FL, 33950",26.924623,-82.046657,0.0,0.0
IAN-00210,"101 Harborside Avenue, Punta Gorda, FL, 33950",26.937452,-82.051953,0.0,0.0
IAN-00211,25200 Airport Road,26.917521,-82.032563,0.0,0.0
IAN-00212,"2310 Tamiami Trail, Punta Gorda",26.919198,-82.046608,0.0,0.0
IAN-00213,"10175 Tamiami Trail, Punta Gorda, FL, 33950",26.883003,-82.017595,0.0,0.0
IAN-00214,"406 Dr Martin Luther King Jr Boulevard, Punta Gorda",26.93616,-82.043871,0.0,0.0
IAN-00215,"1 Cheney Way, Punta Gorda, FL, 33982",26.91153,-82.008042,0.0,0.0
IAN-00216,"1100 Loveland Boulevard, Port Charlotte, FL, 33980",27.012232,-82.056261,0.0,0.0
IAN-00217,"1050 Loveland Boulevard, Port Charlotte, FL, 33980",27.012619,-82.05703,0.0402,3.28
IAN-00218,25365 Rampart Boulevard,27.002169,-82.029128,0.0,0.0
IAN-00219,21500 Clinton Avenue,27.02629,-82.091639,0.0,0.0
IAN-00220,"1391 Tamiami Trail, Port Charlotte, FL, 33948",27.011391,-82.144618,0.0,0.0
IAN-00221,"1400 Tamiami Trail, Port Charlotte, FL, 33948-1004",27.013293,-82.142145,0.0,0.0
IAN-00222,1950 Tamiami Trail,26.92038,-82.046692,0.0,0.0
IAN-00223,"401 Shreve Street, Punta Gorda, FL, 33950-3310;33950",26.926018,-82.056576,0.0195,6.56
IAN-00224,"2525 Tamiami Trail, Port Charlotte, FL, 33952",26.993988,-82.11633,0.0,0.0
IAN-00225,"18500 Murdock Circle, Port Charlotte, FL",27.00866,-82.141144,0.0,0.0
IAN-00226,"19100 Murdock Circle, Port Charlotte, FL, 33948",27.013968,-82.139719,0.0,0.0
IAN-00227,"19690 Cochran Boulevard, Port Charlotte, FL, 33948",27.014884,-82.136243,0.0,0.0
IAN-00228,"2500 Aaron Street, Port Charlotte, FL, 33952",26.986045,-82.096735,0.0727,6.56
IAN-00229,"3280 Tamiami Trail, Port Charlotte, FL, 33952",26.983922,-82.098006,0.0,0.0
IAN-00230,"2500 Harbor Boulevard, Port Charlotte, FL, 33952",26.989143,-82.095672,0.0,0.0
IAN-00231,"3206 Northwest Tamiami Trail, Port Charlotte, FL, 33952",26.984404,-82.101214,0.0,0.0
IAN-00232,"3232 Tamiami Trail, Port Charlotte, FL, 33952",26.983597,-82.100112,0.036,9.84
IAN-00233,"2450 Tamiami Trail, Port Charlotte, FL, 33952",26.996061,-82.117251,0.0,0.0
IAN-00234,"2440 Tamiami Trl, Port Charlotte, FL, 33952",26.996195,-82.117554,0.0085,13.12
IAN-00235,"2420 Tamiami Trail, Port Charlotte, FL, 33952",26.996554,-82.118044,0.0,0.0
IAN-00236,"2404 Tamiami Trail, Port Charlotte, FL, 33952",26.996816,-82.118352,0.0,0.0
IAN-00237,"2400 Tamiami Trail, Port Charlotte, FL, 33952",26.996917,-82.118487,0.0,0.0
IAN-00238,"2394 Tamiami Trail, Port Charlotte, FL, 33952",26.996977,-82.118605,0.0,0.0
IAN-00239,"2390 Tamiami Trail, Port Charlotte, FL, 33952",26.997123,-82.118692,0.0,0.0
IAN-00240,"2370 Tamiami Trail, Port Charlotte, FL, 33952",26.997442,-82.119168,0.0,0.0
IAN-00241,"2360 Tamiami Trail, Port Charlotte, FL, 33952",26.997672,-82.119481,0.0,0.0
IAN-00242,"2100 Forrest Nelson Boulevard, Port Charlotte, FL, 33952",27.000245,-82.122682,0.0,0.0
IAN-00243,"2260 Tamiami Trail, Port Charlotte, FL, 33952",26.999358,-82.121684,0.0004,9.84
IAN-00244,"2286 Tamiami Trail, Port Charlotte, FL, 33952",26.998961,-82.121015,0.0,0.0
IAN-00245,"2324 Tamiami Trail, Port Charlotte, FL, 33952",26.998311,-82.120157,0.0,0.0
IAN-00246,"2315 Tamiami Trail, Port Charlotte, FL, 33952",26.997762,-82.12142,0.0,0.0
IAN-00247,"2455 Tamiami Trail, Port Charlotte, FL",26.995273,-82.117911,0.0016,13.12
IAN-00248,"2465 Tamiami Trail, Port Charlotte, FL",26.994994,-82.117716,0.0672,13.12
IAN-00249,"2512 Tamiami Trail, Port Charlotte, FL, 33952",26.994979,-82.115769,0.0,0.0
IAN-00250,"2651 Tamiami Trail, Port Charlotte, FL",26.991715,-82.113474,0.0481,6.56
IAN-00251,"2625 Tamiami Trail, Port Charlotte, FL",26.992064,-82.113895,0.0,0.0
IAN-00252,"2575 Tamiami Trail, Port Charlotte, FL",26.993018,-82.114919,0.0,0.0
IAN-00253,"2565 Tamiami Trail, Port Charlotte, FL",26.993069,-82.115288,0.0,0.0
IAN-00254,"4478 Tamiami Trail, Port Charlotte, FL",26.963972,-82.072611,0.0057,26.25
IAN-00255,"4265 Tamiami Trail, Port Charlotte, FL, 33980-2152",26.966579,-82.080687,0.0,0.0
IAN-00256,"4500 Harbor Boulevard, Port Charlotte, FL, 33952",26.96214,-82.11284,0.0,0.0
IAN-00257,"9035 Mac Drive, Punta Gorda, FL, 33950",26.8978,-82.006452,0.0,0.0
IAN-00258,120 Bangsberg Road Southeast,26.963079,-82.090122,0.0,0.0
IAN-00259,"118 Bangsberg Road Southeast, Port Charlotte, FL",26.963368,-82.090219,0.0,0.0
IAN-00260,"125 Bangsberg Road Southeast, Port Charlotte, FL",26.963027,-82.089583,0.0,0.0
IAN-00261,"733 Springview Avenue Northwest, Port Charlotte, FL, 33948",26.980901,-82.124711,0.0,0.0
IAN-00262,"234 Seasons Drive, Punta Gorda, FL, 33983",27.025331,-82.007354,0.0881,9.84
IAN-00263,"233 Seasons Drive, Punta Gorda, FL, 33983",27.025289,-82.008041,0.0426,9.84
