fd_id,occtype,st_damcat,found_ht,found_type,num_story,sqft,ftprntsqft,val_struct,val_cont,ground_elv,med_yr_blt,firmzone,bldheight,usastrucid,cbfips,longitude,latitude,truth_flooded,property_id,address,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,hand_ft,water_fraction,dpol_available,dpol_water,db_available,double_bounce,vh_available,vh_water_pct,rain_mm,ndvi_valid,ndvi_delta,near_water_flag,flood_s0,flood_s1,flood_s2
122604835,RES1-2SNB,RES,0.75,S,2,4070.0,2534,922337.8145037285,461168.90725186426,76.85048,1995,X,5.5,,481576739041019,-95.677325301111,29.597688007869,0.0,s2622,s2622,0.0,0.0,1,1,0.0,0.0,5.485,1.72,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,1,,,
122625120,RES1-1SNB,RES,0.75,S,1,1472.0,1938,307439.79022123513,153719.89511061757,84.92324,2015,X,0.56,,481576755024011,-95.743077096932,29.521968592286,0.0,s2623,s2623,0.0,0.0,0,1,0.0,0.0,8.639,1.06,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122489425,RES1-1SNB,RES,0.75,S,1,2681.0,3560,173195.08245,86597.541225,97.61716,1981,X,5.05,,481576752003013,-95.798694572275,29.54268156238,0.0,s2624,s2624,0.0,0.0,1,1,0.0,0.0,4.656,6.9,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122469068,RES1-1SNB,RES,0.75,S,1,1952.0,2509,338677.30313356745,169338.65156678372,78.03134,2013,X,0.14,,481576747024024,-95.731935786645,29.560181983112,1.0,s2625,s2625,0.0,0.0,0,1,0.0,0.0,14.18,10.75,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122482914,RES1-1SNB,RES,0.75,S,1,1491.0,1491,388609.8620318373,194304.93101591864,89.06686,2010,X,3.05,,481576734012011,-95.767707268657,29.610700781844,0.0,s2626,s2626,0.0,0.0,1,1,0.0,0.0,30.862,15.39,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,1,,,
122455903,RES1-1SNB,RES,0.75,S,1,1862.0,2365,527826.3326870548,263913.1663435274,76.81055,1995,X,4.39,,481576739041009,-95.680310300487,29.596054031694,0.0,s2627,s2627,0.0,0.0,1,1,0.0,0.0,6.88,5.05,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122614258,RES1-2SNB,RES,0.75,S,2,2528.0,2382,656724.1847302543,328362.0923651272,76.63412,1995,X,4.44,,481576739041006,-95.677603206661,29.600723419068,0.0,s2628,s2628,0.0,0.0,1,1,0.0,0.0,1.643,8.39,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122552677,RES1-2SNB,RES,0.75,S,2,2509.0,1797,407610.5953339677,203805.29766698385,78.659775,1989,X,5.0,,481576746031014,-95.692331941574,29.545818565782,0.0,s2629,s2629,0.0,0.0,1,1,0.0,0.0,12.043,10.62,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122572028,RES1-1SNB,RES,2.0,C,1,748.0,920,91751.87250000001,45875.936250000006,99.61642,1983,X,6.16,,481576750001016,-95.798338376868,29.561437761353,0.0,s2630,s2630,0.0,0.0,1,1,0.0,0.0,7.0,5.15,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122538282,RES1-2SNB,RES,0.75,S,2,4758.0,5040,890352.0628048701,445176.03140243504,86.98951,2010,AE,2.73,,481576734014002,-95.786200432843,29.62245331701,1.0,s2631,s2631,0.0,0.0,0,1,0.0,0.0,11.439,2.81,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122681403,RES1-2SNB,RES,0.75,S,2,3201.0,1845,342398.64303869347,171199.32151934673,66.71637,1984,X,5.61,,481576741001002,-95.604614383501,29.589711919371,1.0,s2632,s2632,0.0,0.0,1,1,0.0,0.0,4.26,1.42,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122475608,RES1-1SWB,RES,2.0,B,1,1889.0,2522,442972.89424699405,221486.44712349703,79.95771,1994,AE,0.97,,481576738013009,-95.743659070401,29.584760309583,1.0,s2633,s2633,0.0,0.0,0,1,0.0,0.0,2.043,1.06,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122547816,RES1-2SNB,RES,0.75,S,2,3212.0,2547,779466.0187678282,389733.0093839141,68.30026,1998,X,5.61,,481576744013000,-95.6278708321,29.556658468738,0.0,s2634,s2634,0.0,0.0,1,1,0.0,0.0,7.456,2.8,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122531699,RES1-1SNB,RES,0.75,S,1,1605.0,1966,309923.3103382454,154961.6551691227,92.14333,2015,X,4.92,,481576755023001,-95.732462736759,29.540828170423,0.0,s2635,s2635,0.0,0.0,1,1,0.0,0.0,13.379,10.92,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122599664,RES1-1SNB,RES,0.75,S,1,3508.0,3758,851689.5207351049,425844.76036755246,73.0659,2009,X,5.84,,481576739022015,-95.654681589434,29.581386694909,0.0,s2636,s2636,0.0,0.0,1,1,0.0,0.0,9.508,1.93,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122585171,RES1-1SNB,RES,0.75,S,1,1715.0,2180,296014.6519422065,148007.32597110324,83.48456,2013,X,3.05,,481576747024067,-95.749679853003,29.551608360401,1.0,s2637,s2637,0.0,0.0,1,1,0.0,0.0,17.882,17.25,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122616061,RES2,RES,2.0,C,1,980.0,1812,53086.408350000005,53086.408350000005,99.719475,1983,X,3.23,,481576750001035,-95.799868742286,29.560158087423,0.0,s2638,s2638,0.0,0.0,1,1,0.0,0.0,9.837,9.76,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122611154,RES1-1SNB,RES,2.0,C,1,1064.0,1004,180054.27095399998,90027.13547699999,86.72523,2013,X,5.48,,481576747022050,-95.76030531289,29.577183782983,0.0,s2639,s2639,0.0,0.0,1,1,0.0,0.0,11.679,8.41,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122638938,RES1-1SNB,RES,0.75,S,1,1425.0,1934,294743.95191553835,147371.97595776917,87.69754,2015,X,0.54,,481576755024023,-95.75243700668,29.522477251778,0.0,s2640,s2640,0.0,0.0,0,1,0.0,0.0,5.481,1.48,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122484179,RES1-2SNB,RES,0.75,S,2,2442.0,1909,231023.21848275332,115511.60924137666,98.79715,2008,X,4.23,,481576751012003,-95.777675665711,29.556222271021,0.0,s2641,s2641,0.0,0.0,0,1,0.0,0.0,6.497,1.21,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122565443,RES1-2SNB,RES,0.75,S,2,5055.0,4041,1116625.7845169224,558312.8922584612,72.64125,1998,X,6.41,,481576744011012,-95.643392284515,29.568325398869,0.0,s2642,s2642,0.0,0.0,0,1,0.0,0.0,5.622,0.73,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122601199,RES1-1SNB,RES,0.75,S,1,1456.0,1649,121596.22215,60798.111075,100.2733,1981,X,4.87,,481576752002041,-95.800968539112,29.55264341785,0.0,s2643,s2643,0.0,0.0,1,1,0.0,0.0,3.148,6.25,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122588186,RES1-2SNB,RES,0.75,S,2,3083.0,3168,772319.2513357009,386159.6256678504,74.514175,2009,X,5.95,,481576739023036,-95.656675592455,29.599384761289,0.0,s2644,s2644,0.0,0.0,1,1,0.0,0.0,11.464,0.65,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122477528,RES1-1SNB,RES,0.75,S,1,1824.0,1278,469880.67481710063,234940.33740855032,87.99363,2010,AE,4.07,,481576734011007,-95.748110859307,29.607780073944,0.0,s2645,s2645,0.0,0.0,1,1,0.0,0.0,10.126,5.88,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122450729,RES1-1SNB,RES,0.75,S,1,2286.0,3099,625887.8884594981,312943.94422974903,73.048096,2009,X,5.33,,481576739022025,-95.661405380152,29.574861041262,0.0,s2646,s2646,0.0,0.0,1,1,0.0,0.0,9.164,4.47,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122603892,RES1-1SNB,RES,0.75,S,1,792.0,831,88032.64680000002,44016.32340000001,102.944016,1987,X,3.24,,481576753003004,-95.818954507634,29.563261013097,0.0,s2647,s2647,0.0,0.0,1,1,0.0,0.0,46.52,31.04,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122621782,RES1-1SNB,RES,0.75,S,1,1796.0,2190,329883.8436456965,164941.92182284826,85.37079,2015,X,5.17,,481576755022014,-95.719284993474,29.531177438816,0.0,s2648,s2648,0.0,0.0,1,1,0.0177,0.0,6.96,3.36,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,1,,,
122711064,RES1-2SNB,RES,0.75,S,2,3252.0,1682,771148.8622577995,385574.43112889974,67.08089,1998,X,4.91,,481576744015009,-95.605659821179,29.558294743318,0.0,s2649,s2649,0.0,0.0,1,1,0.0,0.0,7.61,1.3,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122689733,RES1-2SNB,RES,0.75,S,2,3505.0,2720,865231.0123615154,432615.5061807577,68.83062,2013,X,5.63,,481576744023000,-95.600766937705,29.547146686957,1.0,s2650,s2650,0.0,0.0,1,1,0.0,0.0,8.036,4.26,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122526092,RES1-1SNB,RES,0.75,S,1,1517.0,1888,287278.987787287,143639.4938936435,80.34304,1989,X,3.91,,481576746032009,-95.688218682545,29.539915058009,0.0,s2651,s2651,0.0,0.0,1,1,0.0,0.0,6.909,5.28,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122457789,RES1-2SNB,RES,0.75,S,2,3484.0,4389,850419.6182747148,425209.8091373574,82.781555,2015,X,5.65,,481576729012052,-95.694997184046,29.626165584244,0.0,s2652,s2652,0.0,0.0,1,1,0.0,0.0,11.804,11.88,0.0,1,0.0276,0,0.0,0,0.0,0.0,0,0.0,0,,,
122569596,RES1-1SNB,RES,0.75,S,1,1934.0,2267,310496.33155995206,155248.16577997603,79.538185,2013,X,5.24,,481576747023018,-95.74625165133,29.570330726318,1.0,s2653,s2653,0.0,0.0,1,1,0.0,0.0,10.17,4.2,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122709348,RES1-1SNB,RES,0.75,S,1,2237.0,1611,280081.69488053996,140040.84744026998,65.67819,1984,X,4.3,,481576741001008,-95.604805495412,29.583710661657,1.0,s2654,s2654,0.0,0.0,1,1,0.0,0.0,12.027,2.72,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122559482,COM1,COM,0.25,S,1,5588.0,5588,892934.1238530965,1116167.6548163707,92.91196,2012,AE,1.0,,481576734043019,-95.810198260457,29.632136429263,0.0,s2655,s2655,0.0,0.0,1,1,0.0,0.0,3.645,3.35,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
