property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,base_mean_db_mean,base_mean_db_min,base_std_db_mean,base_std_db_min,hand_ft_mean,hand_ft_min,perm_water_mean,perm_water_min,slope_deg_mean,slope_deg_min,vv_20170830_mean,vv_20170830_min,vv_20170905_mean,vv_20170905_min,vv_20170911_mean,vv_20170911_min,vv_db_mean,vv_db_min,z_20170830_mean,z_20170830_min,z_20170905_mean,z_20170905_min,z_20170911_mean,z_20170911_min,z_mean,z_min,pass_absolute,pass_change,pass_slope,pass_not_perm,pass_all
21588,HWM 21588,21588,21135,29.6253,-95.7154,0.81,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,-11.715367892968052,-13.124966157738887,1.1835144607250845,0.9447268508396848,3.6369682421008815,3.28084,0,0,0.7231556807433139,0.11835925977162225,-10.397406136009362,-12.843779387317593,-11.996342968594895,-13.688225642671469,-11.745644377622414,-13.277099780063446,-11.591440048130005,-13.148342616826397,1.130971344934844,0.1129128962294885,-0.20885679537166904,-1.0633688340177314,-0.009320099940914466,-1.0040034871162211,0.12181245961298927,-0.5746750469300502,False,False,True,True,False
21580,HWM 21580,21580,21139,29.6173,-95.7326,0.81,Excellent: +/- 0.05 ft,Debris,Riverine,Brazos River,2017-09-05T05:00:00,2017-10-07T05:00:00,-11.074567196634813,-13.364365395841979,1.0143217756419953,0.5305362924693225,2.7139355945373556,2.6246694969177247,0,0,3.1469881915324667,0.03571294541795581,-10.546255107195345,-12.914879234141491,-10.636570184498252,-12.956709285389628,-9.389135814791606,-12.214974813360346,-10.380998061977179,-12.42424559283374,0.5329344300917066,0.05478077054182045,0.4240507755431622,-0.26772295991986717,1.6483785221780642,0.06073168434210518,0.6848032688351131,-0.03996910390743279,False,False,True,True,False
21581,HWM 21581,21581,21139,29.6173,-95.7326,0.67,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,-11.074567196634813,-13.364365395841979,1.0143217756419953,0.5305362924693225,2.7139355945373556,2.6246694969177247,0,0,3.1469881915324667,0.03571294541795581,-10.546255107195345,-12.914879234141491,-10.636570184498252,-12.956709285389628,-9.389135814791606,-12.214974813360346,-10.380998061977179,-12.42424559283374,0.5329344300917066,0.05478077054182045,0.4240507755431622,-0.26772295991986717,1.6483785221780642,0.06073168434210518,0.6848032688351131,-0.03996910390743279,False,False,True,True,False
21908,HWM 21908,21908,21365,29.55893,-95.63732,1.39,Good: +/- 0.10 ft,Seed line,Riverine,unknown,2017-09-06T05:00:00,2017-10-07T05:00:00,-12.225665474289489,-13.534927917596878,0.8838311686992153,0.6570215063468458,4.501768224151539,3.28084,0,0,2.9016704898442223,0.3550189378220844,-10.56291811884381,-13.216021166626184,-11.70441810029016,-14.871595694957206,-11.363756075227748,-13.574262894612026,-11.130425610274301,-13.484682841406364,1.8439034116246842,0.08250293886985283,0.5931229306605931,-1.4593618479132862,1.002404983777825,-0.03934170639681184,1.2380484259621682,-0.16206547752656458,False,False,True,True,False
21855,HWM 21855,21855,21336,29.71693,-95.74408,2.73,Fair: +/- 0.20 ft,Stain line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,-11.55903732010669,-12.846361133497332,0.9227536704359264,0.6474080234086129,6.508990179986984,0.0,0,0,0.6053216427325923,0.1165201638699051,-7.103030756109684,-11.002597219268303,-10.539666012868278,-11.18813010579835,-10.426749005989992,-14.290848640576684,-9.552922301600786,-12.01653126378787,4.8783655013744305,1.2230801790641754,1.0519879465374788,-0.9783104382014542,1.2294348654794864,-1.4286427245816313,2.1521647001254496,0.6842869239144665,False,False,True,True,False
21856,HWM 21856,21856,21336,29.71575,-95.74281,1.33,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,-8.83233042975744,-10.484034521239833,0.8486067117285202,0.6268474250367061,17.130943391042297,13.451445251541138,0,0,0.3409650547192776,0.0858780843318813,-5.381124984802257,-9.15288890156157,-7.492764456258521,-9.10093603152047,-8.428615997860472,-9.673960204221382,-7.251556125799942,-9.06360073007056,4.005882037963559,1.428391551240374,1.5530048125705334,0.10132271406577024,0.4434531694027952,-1.1677997395448527,1.812316041281842,1.0116085645913997,False,False,True,True,False
21871,HWM 21871,21871,21346,29.469,-95.7726,4.03,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-11T05:00:00,-11.033123832593391,-11.89424012241238,1.1687656294218582,0.996167186466189,2.643930620702058,0.9842494969177246,0,0,2.0156471673072995,0.10041570247633609,-10.677006796210183,-13.300607060149948,-10.40860769270229,-11.255633671113365,-11.568436822168753,-13.181198232525182,-10.898634231344086,-11.98575664118832,0.2713890720783324,-1.4283485994333414,0.5374275373628139,-0.3750272363557965,-0.45878207339761473,-2.012007370450221,0.11305358759648347,-0.937312276318663,False,False,True,True,False
21875,HWM 21875,21875,21351,29.5785,-95.794,5.0,Excellent: +/- 0.05 ft,Mud,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,-10.660978828057218,-11.652459056327551,0.8485710945077869,0.6730423340068055,1.2241639469529104,0.0,0,0,0.26750950659534833,0.12725880335185588,-11.63171377979986,-14.53528840170264,-9.484735074910365,-10.748878746621555,-10.002249625303826,-12.684980041160308,-10.41346015311202,-12.631446311749624,-1.1389207295526156,-3.279272635159096,1.3806674359312372,0.38705920712503544,0.7583290037039376,-1.079523348394604,0.2907397499843764,-1.0235526594939484,False,False,True,True,False
21876,HWM 21876,21876,21351,29.5785,-95.794,4.24,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,-10.660978828057218,-11.652459056327551,0.8485710945077869,0.6730423340068055,1.2241639469529104,0.0,0,0,0.26750950659534833,0.12725880335185588,-11.63171377979986,-14.53528840170264,-9.484735074910365,-10.748878746621555,-10.002249625303826,-12.684980041160308,-10.41346015311202,-12.631446311749624,-1.1389207295526156,-3.279272635159096,1.3806674359312372,0.38705920712503544,0.7583290037039376,-1.079523348394604,0.2907397499843764,-1.0235526594939484,False,False,True,True,False
21877,HWM 21877,21877,21351,29.5785,-95.794,3.02,Excellent: +/- 0.05 ft,Seed line,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,-10.660978828057218,-11.652459056327551,0.8485710945077869,0.6730423340068055,1.2241639469529104,0.0,0,0,0.26750950659534833,0.12725880335185588,-11.63171377979986,-14.53528840170264,-9.484735074910365,-10.748878746621555,-10.002249625303826,-12.684980041160308,-10.41346015311202,-12.631446311749624,-1.1389207295526156,-3.279272635159096,1.3806674359312372,0.38705920712503544,0.7583290037039376,-1.079523348394604,0.2907397499843764,-1.0235526594939484,False,False,True,True,False
