property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,hand_ft,water_fraction,dpol_available,dpol_water,db_available,double_bounce,vh_available,vh_water_pct,rain_mm,ndvi_valid,ndvi_delta,near_water_flag,flood_s0,flood_s1,flood_s2,sample_radius_m
25187,HWM 25187,25187,23186,29.86273,-95.46898,1.9,Excellent: +/- 0.05 ft,Seed line,Riverine,White Oak Bayou,2017-09-27T05:00:00,2017-09-27T05:00:00,0.0,0.0,0,1,0.0,0.0,17.574,3.25,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
25189,HWM 25189,25189,23188,29.826044,-95.481466,1.1,Good: +/- 0.10 ft,Seed line,Riverine,Brickhouse Gully,2017-09-27T05:00:00,2017-09-27T05:00:00,0.0,0.0,1,1,0.0,0.0,12.192,0.41,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
25201,HWM 25201,25201,23196,29.77798,-95.48255,1.9,Excellent: +/- 0.05 ft,Seed line,Riverine,Spring Branch Bayou,2017-09-28T05:00:00,2017-09-28T05:00:00,0.0,0.0,1,1,0.0,0.0,31.033,2.45,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22611,HWM 22611,22611,21791,29.721307,-95.565625,5.21,Good: +/- 0.10 ft,Seed line,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0.0,0.0,1,1,0.0,0.0,7.997,0.12,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22621,HWM 22621,22621,21791,29.7212186,-95.565607,8.5,Good: +/- 0.10 ft,Seed line,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0.0,0.0,1,1,0.0,0.0,8.092,0.18,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22676,HWM 22676,22676,21825,29.99411,-95.54108,5.34,Fair: +/- 0.20 ft,Debris,Riverine,Cypress Cr,2017-09-13T05:00:00,2017-09-13T05:00:00,0.0,0.0,0,1,0.0,0.0,10.626,8.8,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
25182,HWM 25182,25182,23183,29.76639,-95.57567,0.6,Fair: +/- 0.20 ft,Seed line,Riverine,White Oak Bayou,2017-09-26T05:00:00,2017-09-26T05:00:00,0.0,0.0,0,1,0.0,0.0,27.415,9.0,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22249,HWM 22249,22249,21557,29.8575,-95.62362,2.69,Good: +/- 0.10 ft,Seed line,Riverine,Langham Cr.,2017-09-11T05:00:00,2017-09-11T05:00:00,0.0,0.0,1,1,0.0,0.0,15.249,15.02,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22251,HWM 22251,22251,21558,29.84466,-95.637,2.18,Good: +/- 0.10 ft,Seed line,Riverine,Bear Cr,2017-09-11T05:00:00,2017-09-11T05:00:00,0.0,0.0,1,1,0.0,0.0,3.319,2.27,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22252,HWM 22252,22252,21559,29.83113,-95.64628,5.0,Good: +/- 0.10 ft,Seed line,Riverine,Bear Creek,2017-09-11T05:00:00,2017-09-11T05:00:00,0.0,0.0,0,1,0.0,0.0,6.163,2.98,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
