property_id,address,latitude,longitude,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,dem_resolution_m,depth_lower_ft,depth_upper_ft,depth_ci_ft
HARV-00350,"602 Knox Street, Houston",29.767505,-95.420888,0.0,0.0,1,1,0.0438,0.0,8.928,1,0.0,0.0,0.0
HARV-00351,"4844 Allum Road, Houston, 77045",29.641303,-95.453876,0.0,0.0,1,1,0.0,0.0,6.052,1,0.0,0.0,0.0
HARV-00352,"11010 Chatterton Drive, Houston, 77043",29.799391,-95.575411,0.0,0.0,1,1,0.0,0.0,2.433,1,0.0,0.0,0.0
HARV-00353,"9600 Fondren Road, Houston, TX, 77096",29.675344,-95.509256,0.0,0.0,1,1,0.0,0.0,21.092,1,0.0,0.0,0.0
HARV-00354,"4441 Effie Street, Bellaire, 77401",29.69541,-95.451004,0.0,0.0,1,1,0.0,0.0,3.044,1,0.0,0.0,0.0
HARV-00355,"4441 Valerie Street, Bellaire, 77401",29.694011,-95.450992,0.0,0.0,1,1,0.0,0.0,2.675,1,0.0,0.0,0.0
HARV-00356,"4441 Cynthia Street, Bellaire, 77401",29.693339,-95.450976,0.0,0.0,1,1,0.0,0.0,2.22,1,0.0,0.0,0.0
HARV-00357,"4441 Dorothy Street, Bellaire, 77401",29.692595,-95.450987,0.0,0.0,1,1,0.0,0.0,7.011,1,0.0,0.0,0.0
HARV-00358,"7431 Beechnut Street, Houston",29.690758,-95.517523,0.0,0.0,0,1,0.0,0.0,4.383,1,0.0,0.0,0.0
HARV-00359,"8306 Southwest Freeway Frontage Road, Houston, TX, 77074",29.689201,-95.530661,0.0,0.0,1,1,0.0,0.0,4.217,1,0.0,0.0,0.0
HARV-00360,"8515 South Braeswood Boulevard, Houston",29.671041,-95.526768,0.0,0.0,1,1,0.0,0.0,24.977,1,0.0,0.0,0.0
HARV-00361,"8404 South Braeswood Boulevard, Houston",29.671383,-95.520842,0.0,0.0,1,1,0.0,0.0,25.823,1,0.0,0.0,0.0
HARV-00362,"7927 South Braeswood Boulevard, Houston",29.672,-95.518473,0.0,0.0,0,1,0.0,0.0,26.023,1,0.0,0.0,0.0
HARV-00363,"6227 South Braeswood Boulevard, Houston, TX",29.676732,-95.50149,0.0,0.0,1,1,0.0,0.0,25.079,1,0.0,0.0,0.0
HARV-00364,"6103 South Braeswood Boulevard, Houston, TX",29.677397,-95.497483,0.0,0.0,1,1,0.0,0.0,25.898,1,0.0,0.0,0.0
HARV-00365,"5863 South Braeswood Boulevard, Houston",29.676791,-95.492336,0.0,0.0,1,1,0.0,0.0,22.784,1,0.0,0.0,0.0
HARV-00366,"5703 South Braeswood Boulevard, Houston",29.674329,-95.486553,0.0,0.0,1,1,0.0,0.0,22.862,1,0.0,0.0,0.0
HARV-00367,"5739 South Braeswood Boulevard, Houston",29.674813,-95.488539,0.0,0.0,1,1,0.0,0.0,22.778,1,0.0,0.0,0.0
HARV-00368,"5331 South Braeswood Boulevard, Houston, TX",29.676664,-95.476114,0.0,0.0,0,1,0.0023,0.0,23.383,1,0.0,0.0,0.0
HARV-00369,2800 Bissonnet Street,29.725901,-95.422528,0.0,0.0,1,1,0.0,0.0,3.877,1,0.0,0.0,0.0
